Variable, Middle quantile Coefficient, Middle quantile Prob., Upper quantile Coefficient, Upper quantile Prob., Lower quantile Coefficient, Lower quantile Prob.
GPRD(-1),-0.033,0.000,-0.001,0.059,-0.015,0.002
GPRD(-1).DCOVID,0.101,0.000,0.001,0.485,0.058,0.000
USEPU(-1),0.041,0.000,0.000,0.173,0.019,0.000
VIX(-1),0.624,0.000,0.001,0.883,0.507,0.000
SP500(-1),98.243,0.000,-0.925,0.489,70.371,0.000
TERM SPREAD(-1),-6.741,0.248,-1.232,0.004,-6.009,0.134
TED SPREAD(-1),-0.031,0.302,0.000,0.821,-0.069,0.001
CORPORATE CREDIT CONDITIONS(-1),13.995,0.000,0.070,0.636,16.155,0.000
ADS BUS CONDITION INDEX(-1),1.105,0.000,0.002,0.784,0.759,0.000
US INFLATION(-1),5.182,0.000,-0.025,0.692,6.020,0.000
C,15.912,0.000,94.856,0.000,27.367,0.000
Adjusted R-squared,0.551,,0.011,,0.580,
F-statistic,323.154,,3.900,,363.583,
Prob.(F-statistic),0.000,,0.000,,0.000,
